Name,UserRating,Holds,Grade
CUTFEET MAGOO,2,A5 C4 H3 A8 E11 C13 F18,4
VEETHREE MAGOO,2,E6 E4 D9 G10 G13 E15 F18,4
JUMP BOY MAGOO,0,D5 F5 D9 H10 H14 J18,6
TOSTAKY,0,J5 D7 E9 B12 G15 C18,8
WHO SAID YOU CAN’T MATCH?,0,A5 D2 E8 I9 G11 H14 E14 G18,2
TRAININGSBOULDER #9,0,F1 I3 H6 I10 K9 I14 F18,8
TRAININGSBOULDER #7,0,E6 G2 H6 F12 J16 I18,9
TRAININGSBOULDER #6,0,D5 H4 G9 E12 H16 I18,7
TRAININGSBOULDER #2,0,C6 B2 A7 A9 C11 A13 B18,8
TRAININGSBOULDER #1,0,G5 I1 H9 E12 I15 G18,8
TRAININGSBOULDER #4,3,J5 E4 H9 J12 H15 K18,8
THE CRACK FOX,0,K6 H6 K9 F10 F11 F16 F17 B15 I18,8
RINGBANDLMACHT,2,K5 H4 K6 K9 F10 F13 D15 E18,6
TRAININGSBOULDER #3,0,E4 H6 G9 I11 H14 K4 I18,7
TRAININGSBOULDER #5,0,J4 H7 I10 F13 I16 F18,9
TRAININGSBOULDER #10,0,J4 K1 H6 D6 C6 B9 D13 A16 C18,8
1ST OF MANY A PROBLEM,2,H5 F5 F8 H10 G13 E13 E16 H18,2
TRAININGSBOULDER #11,0,D4 A2 I3 H7 F6 K9 H12 F13 B15 E18,7
TRAININGSBOULDER #8,0,C6 G5 E11 B15 E18,2
MAGIC1.0,0,I2 F2 F5 C3 B7 D9 I10 I15 E13 H18,2
SOLODOLOMOLO,2,A5 B8 D9 F12 J13 G16 F18,8
UN CAPTIF AMOUREUX,0,A5 D9 H11 K13 G16 F18,4
X MARKS THE SPOT,2,H5 K4 G4 G10 F13 C13 B15 A6 D18,4
ADAM’S PROBLEM,2,F5 H5 I8 H10 G13 E13 C16 F18,2
BUU,3,F6 H4 G2 K2 I8 E13 D18,6
THE EASY PEASY,2,F5 H5 F7 I8 H10 F12 E13 C12 D15 F17 F18,0
TRAIL BLAZER,0,B2 D5 K5 K12 F11 F10 A9 H15 H18,7
BARTENDER,0,J4 J3 K9 I13 I14 H14 H17 F17 A9 G18 B18,7
UNDERGROUND ONE,2,E3 B3 C7 F8 D10 F12 C14 C16 B18,2
ONE HARD MOVE,0,B4 D6 B9 E11 G16 A16 A15 H18,6
DOUBLE DINO,0,F6 H5 I3 D3 C2 E2 D1 K6 J9 H12 J18,0
DINO TO HEAVEN,0,I5 F6 I8 H10 H12 J11 F18 H18,0
WHITE ZAG,3,G6 I5 D9 E11 G14 D17 A18,4
I HATE OVERMAN,0,E4 H5 G7 D10 F12 G13 E16 H18,2
KALUMI,0,A4 D1 D8 D11 J12 H16 J18,5
LE VENT NOUS PORTERA,0,F3 B5 C9 E9 D13 B15 C18,3
IGESPROBLEM,2,D5 H5 I8 F8 H10 F12 G13 E13 E16 C16 D2 J2 F18,2
ERK JUMP 5.0,2,H5 E6 H10 E13 J16 F18,2
KYLOE IN THE HOOD,0,K6 K9 I12 D11 E15 G7 F3 A8 C18,7
LE JOURNAL DU VOLEUR,0,E4 G7 D11 H14 C18,7
NOTRE-DAME-DES-FLEURS,0,E4 H3 J8 F11 F13 B16 C18,7
WE OWN THE NIGHT,0,F3 G3 F7 K8 H12 K14 G18 K18,5
KARANKI,0,A6 B3 G2 E7 C9 F10 C12 G15 E18,2
BAD PINCH ALA FRED,2,G4 D5 E9 B10 E13 F16 J18,5
KINNIKU 12/26,0,K4 J6 I8 F9 B10 C11 B13 F15 B6 C4 B18,2
